Contenu,Titre de la vidéo,Heure de publication de la vidéo,Durée,Pourcentage moyen de vidéo regardé (%),Durée moyenne d'une vue,Ont continué de regarder (%),Vues,Durée de visionnage (heures),Abonnés,Impressions,Taux de clics par impression (%)
zgzEpGKbGiw,كيشوف فالمراية كيتزعط فراسو ؟,"Jul 27, 2022",582,53.13,0:05:09,,559050,48021.1011,2544,5291868,7.54
6VoQrIFUApI,THANKS FOR 900 SUB ( Q & A ) علاش سميتك بيمو ؟,"Aug 31, 2016",643,4.76,0:00:30,,1,0.0085,0,0,
AEZ48gRZTDE,الأب المثالي |  THE PERFECT DAD,"May 23, 2018",373,,,,0,0,0,0,
tdhnJwtDgnU,LET'S ASK AKINATOR + FACECAM | لنسأل اكيناتور,"Jul 23, 2016",308,0.29,0:00:00,,1,0.0003,0,37,0
lwjDwAbjMN8,BGHINA TITIZ,"Nov 22, 2017",212,,,,0,0,0,62,0
WnyEL8uvViA,Diffusion en direct de BIMO,"Dec 5, 2016",0,,,,0,0,1,6524,0
Hfm6i0iHiB4,GARRY'S MOD MAROC FUNNY MOMENT ( PROP HUNT ),"Jan 12, 2017",531,0.58,0:00:03,,1,0.0009,0,12,0
b9QQviGyI-4,رجعت لعائلة ماشي ديالي… وكنت السبب فكارثة,"Apr 8, 2026",676,57.09,0:06:25,,316166,33896.7009,642,3493519,6.54
EUxW_d08Cvc,ها علاش بدلت 🤷‍♂️!,"Apr 20, 2023",286,56.35,0:02:41,,365838,16377.4769,1155,4135621,6.48
NvBZXE2Ik_s,WTF  مغربي مربي سراق الزيت,"Dec 5, 2020",577,50.26,0:04:49,,507246,40859.6087,3311,4566499,7.62
IY6lP00ephE,!! 😂😂😂 ميمكنش مضحكش #24 : فاش كتدوي مع العائلة و كيجبدولك لقراية,"Oct 31, 2022",514,62.44,0:05:20,,229548,20461.7057,816,2551111,5.82
v_-T0Rz4ie4,SPACETOON | أيام الزمن الجميل مع سبيستون,"Feb 15, 2021",741,42.32,0:05:13,,917314,79906.4114,5935,10775249,6.57
86nMlnguL5Y,ميمكنش مضحكش #14 : رخف راسك أصاحبي متخافش,"Sep 16, 2021",518,59.15,0:05:06,,896122,76265.2695,6518,9031857,6.99
YpbgV4-MtJY,FOOOOOOD TIME,"Jan 24, 2021",537,42.39,0:03:47,,360058,22767.3918,608,2959574,8.41
